!	{"ud.punct": 1.0}
"	{"ud.punct": 0.9979313198179561, "ud.x": 0.002068680182043856}
2.21	{"ud.num": 1.0}
2.500	{"ud.num": 1.0}
2.69	{"ud.num": 1.0}
2.87	{"ud.num": 1.0}
20	{"ud.num": 1.0}
20.000	{"ud.num": 1.0}
200	{"ud.num": 1.0}
200.000	{"ud.num": 1.0}
2000	{"ud.num": 1.0}
2001	{"ud.num": 1.0}
2002	{"ud.num": 1.0}
2003	{"ud.num": 1.0}
2004	{"ud.num": 1.0}
2005	{"ud.num": 1.0}
2006	{"ud.num": 1.0}
2007	{"ud.num": 1.0}
2008	{"ud.num": 1.0}
2008-09	{"ud.num": 0.3333333333333333, "ud.x": 0.6666666666666666}
2009	{"ud.num": 1.0}
2010	{"ud.num": 1.0}
2011	{"ud.num": 1.0}
2012	{"ud.num": 1.0}
2013	{"ud.num": 1.0}
2014	{"ud.num": 1.0}
21	{"ud.num": 1.0}
216	{"ud.num": 1.0}
22	{"ud.num": 1.0}
225	{"ud.num": 1.0}
23	{"ud.num": 1.0}
230	{"ud.num": 1.0}
24	{"ud.num": 1.0}
25	{"ud.num": 1.0}
25.000	{"ud.num": 1.0}
250	{"ud.num": 1.0}
250000	{"ud.num": 1.0}
254	{"ud.num": 1.0}
258	{"ud.num": 1.0}
26	{"ud.num": 1.0}
27	{"ud.num": 1.0}
28	{"ud.num": 1.0}
29	{"ud.num": 1.0}
3	{"ud.num": 1.0}
3,5	{"ud.num": 1.0}
3-0	{"ud.num": 1.0}
3-1	{"ud.x": 0.25, "ud.num": 0.75}
3-2	{"ud.x": 1.0}
3.000	{"ud.num": 1.0}
3.1	{"ud.num": 1.0}
3.4	{"ud.num": 1.0}
3.5	{"ud.num": 1.0}
3.66	{"ud.num": 1.0}
30	{"ud.num": 1.0}
30.000	{"ud.num": 1.0}
300	{"ud.num": 1.0}
3000	{"ud.num": 1.0}
31	{"ud.num": 1.0}
310	{"ud.num": 1.0}
32	{"ud.num": 1.0}
320	{"ud.num": 1.0}
33	{"ud.num": 1.0}
330	{"ud.num": 1.0}
34	{"ud.num": 1.0}
35	{"ud.num": 1.0}
350	{"ud.num": 1.0}
36	{"ud.num": 1.0}
360	{"ud.num": 1.0}
37	{"ud.num": 1.0}
38	{"ud.num": 1.0}
39	{"ud.num": 1.0}
3ds	{"ud.propn": 1.0}
4	{"ud.num": 1.0}
4.000	{"ud.num": 1.0}
40	{"ud.num": 1.0}
40.000	{"ud.num": 1.0}
400	{"ud.num": 1.0}
406	{"ud.num": 1.0}
41	{"ud.num": 1.0}
42	{"ud.num": 1.0}
43	{"ud.num": 1.0}
44	{"ud.num": 1.0}
45	{"ud.num": 1.0}
46	{"ud.num": 1.0}
47	{"ud.num": 1.0}
48	{"ud.num": 1.0}
488	{"ud.num": 1.0}
49	{"ud.num": 1.0}
5	{"ud.num": 1.0}
5.000	{"ud.num": 1.0}
50	{"ud.num": 1.0}
500	{"ud.num": 1.0}
500.000	{"ud.num": 1.0}
51	{"ud.num": 1.0}
52	{"ud.num": 1.0}
53	{"ud.num": 1.0}
54	{"ud.num": 1.0}
55	{"ud.num": 0.8, "ud.noun": 0.2}
56	{"ud.num": 1.0}
570	{"ud.num": 1.0}
58	{"ud.num": 1.0}
59	{"ud.num": 1.0}
6	{"ud.num": 1.0}
6.000	{"ud.num": 1.0}
60	{"ud.num": 1.0}
60.000	{"ud.num": 1.0}
600	{"ud.num": 1.0}
61	{"ud.num": 1.0}
62	{"ud.num": 1.0}
64	{"ud.num": 1.0}
65	{"ud.num": 1.0}
68	{"ud.num": 1.0}
7	{"ud.num": 1.0}
70	{"ud.num": 1.0}
700	{"ud.num": 1.0}
71	{"ud.num": 1.0}
72	{"ud.num": 1.0}
75	{"ud.num": 1.0}
78	{"ud.num": 1.0}
79	{"ud.num": 1.0}
8	{"ud.num": 1.0}
8,3	{"ud.num": 1.0}
80	{"ud.num": 0.9642857142857143, "ud.noun": 0.03571428571428571}
800	{"ud.num": 1.0}
82	{"ud.num": 1.0}
84	{"ud.num": 1.0}
85	{"ud.num": 1.0}
86	{"ud.num": 1.0}
87	{"ud.num": 1.0}
88	{"ud.num": 1.0}
8vo	{"ud.adj": 0.3333333333333333, "ud.x": 0.6666666666666666}
9	{"ud.num": 1.0}
90	{"ud.num": 1.0}
91	{"ud.num": 1.0}
92	{"ud.num": 1.0}
93	{"ud.num": 1.0}
94	{"ud.num": 1.0}
95	{"ud.num": 1.0}
96	{"ud.num": 1.0}
97	{"ud.num": 1.0}
:	{"ud.punct": 1.0}
;	{"ud.punct": 0.9919354838709677, "ud.x": 0.008064516129032258}
=	{"ud.sym": 0.8333333333333334, "ud.punct": 0.16666666666666666}
?	{"ud.punct": 1.0}
[	{"ud.punct": 0.8947368421052632, "ud.propn": 0.05263157894736842, "ud.x": 0.05263157894736842}
]	{"ud.punct": 0.9444444444444444, "ud.verb": 0.05555555555555555}
a	{"ud.adp": 0.9885778837705536, "ud.det": 0.0013806953683946279, "ud.propn": 0.004142086105183884, "ud.sym": 0.0037655328228944395, "ud.sconj": 0.0017572486506840718, "ud.verb": 0.000125517760763148, "ud.x": 0.000125517760763148, "ud.noun": 0.000125517760763148}
a.	{"ud.propn": 1.0}
a.c.	{"ud.propn": 0.6666666666666666, "ud.x": 0.3333333333333333}
a3	{"ud.propn": 1.0}
aang	{"ud.propn": 1.0}
aaron	{"ud.propn": 1.0}
aba	{"ud.propn": 1.0}
abad	{"ud.noun": 1.0}
abajo	{"ud.adv": 0.75, "ud.adj": 0.125, "ud.propn": 0.125}
abandona	{"ud.verb": 1.0}
abandonada	{"ud.verb": 0.6, "ud.adj": 0.4}
abandonado	{"ud.verb": 1.0}
abandonando	{"ud.verb": 1.0}
abandonar	{"ud.verb": 1.0}
abandono	{"ud.noun": 0.875, "ud.part": 0.125}
abandonó	{"ud.verb": 1.0}
abanico	{"ud.noun": 1.0}
abarca	{"ud.verb": 0.9230769230769231, "ud.propn": 0.07692307692307693}
abc	{"ud.propn": 1.0}
abejas	{"ud.noun": 1.0}
abel	{"ud.propn": 1.0}
abierta	{"ud.adj": 0.6875, "ud.verb": 0.3125}
abiertas	{"ud.adj": 0.75, "ud.propn": 0.25}
abierto	{"ud.adj": 0.5238095238095238, "ud.verb": 0.38095238095238093, "ud.propn": 0.09523809523809523}
abogado	{"ud.noun": 0.85, "ud.propn": 0.05, "ud.verb": 0.1}
abolida	{"ud.verb": 1.0}
abonar	{"ud.verb": 1.0}
abordar	{"ud.verb": 1.0}
abra	{"ud.propn": 0.3333333333333333, "ud.verb": 0.6666666666666666}
abraham	{"ud.propn": 1.0}
abre	{"ud.verb": 1.0}
abren	{"ud.verb": 1.0}
abreviado	{"ud.verb": 0.5, "ud.adj": 0.5}
abril	{"ud.propn": 1.0}
abrir	{"ud.verb": 1.0}
abrirse	{"ud._": 1.0}
abrirá	{"ud.verb": 1.0}
abrió	{"ud.verb": 1.0}
abría	{"ud.verb": 1.0}
absoluta	{"ud.adj": 1.0}
absoluto	{"ud.adj": 1.0}
absorbiendo	{"ud.verb": 0.6666666666666666, "ud.propn": 0.3333333333333333}
abuela	{"ud.noun": 1.0}
abuelo	{"ud.noun": 1.0}
abundan	{"ud.verb": 1.0}
abundancia	{"ud.noun": 1.0}
abundante	{"ud.adj": 1.0}
abundantes	{"ud.adj": 1.0}
abuso	{"ud.noun": 1.0}
abusos	{"ud.noun": 1.0}
ac	{"ud.propn": 0.875, "ud.x": 0.125}
acaba	{"ud.verb": 1.0}
acababa	{"ud.verb": 1.0}
acabado	{"ud.verb": 0.4, "ud.noun": 0.6}
acaban	{"ud.verb": 1.0}
acabar	{"ud.verb": 1.0}
acabaría	{"ud.verb": 1.0}
acabo	{"ud.verb": 1.0}
acabó	{"ud.verb": 1.0}
academia	{"ud.propn": 0.5897435897435898, "ud.noun": 0.41025641025641024}
academias	{"ud.noun": 1.0}
academy	{"ud.propn": 1.0}
académica	{"ud.adj": 1.0}
académico	{"ud.adj": 0.6, "ud.noun": 0.4}
académicos	{"ud.noun": 0.375, "ud.adj": 0.625}
acantilado	{"ud.noun": 0.6666666666666666, "ud.propn": 0.3333333333333333}
acaso	{"ud.adv": 1.0}
acatlán	{"ud.propn": 1.0}
acb	{"ud.x": 0.6666666666666666, "ud.propn": 0.3333333333333333}
accede	{"ud.verb": 1.0}
acceder	{"ud.verb": 1.0}
accedió	{"ud.verb": 1.0}
accesible	{"ud.adj": 1.0}
acceso	{"ud.noun": 0.9411764705882353, "ud.propn": 0.058823529411764705}
accesorio	{"ud.noun": 1.0}
accesorios	{"ud.noun": 1.0}
accesos	{"ud.noun": 1.0}
accidentado	{"ud.adj": 1.0}
accidentalmente	{"ud.adv": 1.0}
accidente	{"ud.noun": 1.0}
accidentes	{"ud.noun": 1.0}
acciones	{"ud.noun": 1.0}
accionista	{"ud.noun": 1.0}
accionistas	{"ud.noun": 1.0}
acción	{"ud.noun": 0.926829268292683, "ud.propn": 0.07317073170731707}
ace	{"ud.propn": 1.0}
aceite	{"ud.noun": 1.0}
acelerado	{"ud.verb": 1.0}
acento	{"ud.noun": 1.0}
acepta	{"ud.verb": 1.0}
aceptación	{"ud.noun": 1.0}
aceptada	{"ud.verb": 1.0}
aceptadas	{"ud.verb": 1.0}
aceptado	{"ud.verb": 1.0}
aceptan	{"ud.verb": 1.0}
aceptar	{"ud.verb": 1.0}
aceptó	{"ud.verb": 1.0}
acerca	{"ud.adv": 0.7727272727272727, "ud.verb": 0.18181818181818182, "ud.adp": 0.045454545454545456}
acercamiento	{"ud.noun": 1.0}
acercan	{"ud.verb": 1.0}
acercaron	{"ud.verb": 1.0}
acercó	{"ud.verb": 1.0}
acero	{"ud.noun": 0.6666666666666666, "ud.propn": 0.3333333333333333}
acertó	{"ud.verb": 1.0}
acha	{"ud.propn": 1.0}
aclarar	{"ud.verb": 1.0}
aclaró	{"ud.verb": 1.0}
acogedora	{"ud.adj": 0.75, "ud.noun": 0.25}
acoger	{"ud.verb": 1.0}
acogida	{"ud.noun": 1.0}
acogió	{"ud.verb": 1.0}
acomodada	{"ud.adj": 1.0}
acompaña	{"ud.verb": 1.0}
acompañada	{"ud.verb": 1.0}
acompañado	{"ud.adj": 0.13333333333333333, "ud.verb": 0.8666666666666667}
acompañar	{"ud.verb": 1.0}
acompañó	{"ud.verb": 1.0}
aconcagua	{"ud.propn": 1.0}
acondicionado	{"ud.adj": 0.8, "ud.verb": 0.2}
aconsejado	{"ud.verb": 1.0}
aconsejan	{"ud.verb": 1.0}
acontecimientos	{"ud.noun": 1.0}
acopio	{"ud.noun": 1.0}
acorazado	{"ud.noun": 1.0}
acorazados	{"ud.adj": 0.3333333333333333, "ud.noun": 0.6666666666666666}
acordaron	{"ud.verb": 1.0}
acordó	{"ud.verb": 1.0}
acostumbrados	{"ud.adj": 0.6666666666666666, "ud.verb": 0.3333333333333333}
acredita	{"ud.verb": 1.0}
acres	{"ud.noun": 1.0}
acrónimo	{"ud.noun": 1.0}
act	{"ud.propn": 0.6666666666666666, "ud.x": 0.3333333333333333}
acta	{"ud.noun": 0.6666666666666666, "ud.propn": 0.3333333333333333}
action	{"ud.propn": 1.0}
actitud	{"ud.noun": 1.0}
actitudes	{"ud.noun": 1.0}
activa	{"ud.adj": 0.8666666666666667, "ud.adv": 0.06666666666666667, "ud.verb": 0.06666666666666667}
activamente	{"ud.adv": 1.0}
activar	{"ud.verb": 1.0}
activas	{"ud.adj": 1.0}
actividad	{"ud.noun": 1.0}
actividades	{"ud.noun": 1.0}
activistas	{"ud.noun": 0.75, "ud.adj": 0.25}
activo	{"ud.adj": 0.6363636363636364, "ud.noun": 0.36363636363636365}
activos	{"ud.noun": 0.5, "ud.adj": 0.5}
acto	{"ud.noun": 1.0}
actor	{"ud.noun": 1.0}
actores	{"ud.noun": 1.0}
actos	{"ud.noun": 1.0}
actrices	{"ud.noun": 1.0}
actriz	{"ud.noun": 1.0}
actuaciones	{"ud.noun": 1.0}
actuación	{"ud.noun": 1.0}
actual	{"ud.adj": 1.0}
actuales	{"ud.adj": 1.0}
actualidad	{"ud.noun": 1.0}
actualización	{"ud.noun": 1.0}
actualizadas	{"ud.verb": 1.0}
actualizar	{"ud.verb": 1.0}
actualmente	{"ud.adv": 1.0}
actuando	{"ud.verb": 1.0}
actuar	{"ud.verb": 1.0}
actuaron	{"ud.verb": 1.0}
actuó	{"ud.verb": 1.0}
actúa	{"ud.verb": 1.0}
actúan	{"ud.verb": 1.0}
acudieron	{"ud.verb": 1.0}
acudir	{"ud.verb": 1.0}
acudió	{"ud.verb": 1.0}
acudían	{"ud.verb": 1.0}
acuerdo	{"ud.noun": 0.9473684210526315, "ud.propn": 0.02631578947368421, "ud.verb": 0.02631578947368421}
acuerdos	{"ud.noun": 1.0}
acumulación	{"ud.noun": 1.0}
acumulado	{"ud.verb": 0.75, "ud.adj": 0.25}
acumular	{"ud.verb": 1.0}
acusa	{"ud.verb": 1.0}
acusaciones	{"ud.noun": 1.0}
acusado	{"ud.verb": 0.6, "ud.noun": 0.2, "ud.adj": 0.2}
acusados	{"ud.verb": 0.2857142857142857, "ud.noun": 0.5714285714285714, "ud.adj": 0.14285714285714285}
acuáticas	{"ud.adj": 1.0}
acá	{"ud.adv": 0.6666666666666666, "ud.propn": 0.3333333333333333}
acústica	{"ud.adj": 0.6666666666666666, "ud.noun": 0.3333333333333333}
acústico	{"ud.adj": 1.0}
ad	{"ud.propn": 0.5, "ud.x": 0.375, "ud.adj": 0.125}
adam	{"ud.propn": 1.0}
adams	{"ud.propn": 1.0}
adapta	{"ud.verb": 1.0}
adaptación	{"ud.noun": 1.0}
adaptada	{"ud.adj": 0.5, "ud.verb": 0.5}
adaptado	{"ud.verb": 1.0}
adaptar	{"ud.verb": 1.0}
adaptarse	{"ud._": 1.0}
adecuadamente	{"ud.adv": 1.0}
adecuado	{"ud.adj": 1.0}
adecuados	{"ud.adj": 1.0}
adelaida	{"ud.propn": 1.0}
adelanta	{"ud.verb": 1.0}
adelante	{"ud.adv": 0.9444444444444444, "ud.propn": 0.05555555555555555}
adelantó	{"ud.verb": 1.0}
ademas	{"ud.adv": 1.0}
además	{"ud.adv": 1.0}
adentro	{"ud.adv": 1.0}
adicional	{"ud.adj": 1.0}
adicionales	{"ud.adj": 1.0}
adicionalmente	{"ud.adv": 1.0}
adición	{"ud.noun": 1.0}
adiós	{"ud.propn": 1.0}
adjunto	{"ud.adj": 1.0}
administra	{"ud.verb": 1.0}
administraciones	{"ud.noun": 1.0}
administración	{"ud.noun": 0.9736842105263158, "ud.propn": 0.02631578947368421}
administrado	{"ud.verb": 1.0}
administrador	{"ud.noun": 1.0}
administrar	{"ud.verb": 1.0}
administrativa	{"ud.adj": 0.8, "ud.propn": 0.2}
administrativamente	{"ud.adv": 1.0}
administrativas	{"ud.adj": 1.0}
administrativo	{"ud.adj": 1.0}
admite	{"ud.verb": 1.0}
adn	{"ud.propn": 0.5555555555555556, "ud.noun": 0.4444444444444444}
adobe	{"ud.noun": 0.3333333333333333, "ud.propn": 0.6666666666666666}
adolescencia	{"ud.noun": 1.0}
adolescente	{"ud.noun": 0.8, "ud.adj": 0.2}
adolescentes	{"ud.propn": 0.3333333333333333, "ud.noun": 0.6666666666666666}
adolf	{"ud.propn": 1.0}
adolfo	{"ud.propn": 1.0}
adonde	{"ud.adv": 1.0}
adopción	{"ud.noun": 1.0}
adoptar	{"ud.verb": 1.0}
adoptaron	{"ud.verb": 1.0}
adoptó	{"ud.verb": 1.0}
adorno	{"ud.propn": 0.3333333333333333, "ud.noun": 0.6666666666666666}
adquiere	{"ud.verb": 1.0}
adquirida	{"ud.verb": 0.6666666666666666, "ud.adj": 0.3333333333333333}
adquirido	{"ud.verb": 1.0}
adquiriendo	{"ud.verb": 1.0}
adquirir	{"ud.verb": 1.0}
adquirió	{"ud.verb": 1.0}
adquisición	{"ud.noun": 1.0}
adriana	{"ud.propn": 1.0}
adrián	{"ud.propn": 1.0}
adulta	{"ud.adj": 0.6666666666666666, "ud.noun": 0.3333333333333333}
adulto	{"ud.adj": 1.0}
adultos	{"ud.noun": 0.8, "ud.adj": 0.1, "ud.propn": 0.1}
advirtió	{"ud.verb": 1.0}
adyacentes	{"ud.adj": 1.0}
aemet	{"ud.propn": 0.6666666666666666, "ud.x": 0.3333333333333333}
aerolínea	{"ud.noun": 1.0}
aerolíneas	{"ud.noun": 0.25, "ud.propn": 0.75}
aeronaves	{"ud.noun": 1.0}
aeronáutico	{"ud.adj": 0.75, "ud.noun": 0.25}
aeropuerto	{"ud.noun": 0.88, "ud.propn": 0.12}
aeropuertos	{"ud.noun": 0.9166666666666666, "ud.propn": 0.08333333333333333}
afección	{"ud.noun": 1.0}
afecta	{"ud.verb": 1.0}
afectada	{"ud.verb": 0.8, "ud.adj": 0.2}
afectadas	{"ud.verb": 0.5, "ud.adj": 0.5}
afectados	{"ud.adj": 0.5, "ud.verb": 0.5}
afectan	{"ud.verb": 1.0}
afectar	{"ud.verb": 1.0}
afectará	{"ud.verb": 1.0}
afecto	{"ud.noun": 1.0}
afectó	{"ud.verb": 1.0}
afganistán	{"ud.propn": 1.0}
aficionados	{"ud.noun": 0.8, "ud.adj": 0.2}
afición	{"ud.noun": 1.0}
afincado	{"ud.verb": 0.3333333333333333, "ud.propn": 0.3333333333333333, "ud.adj": 0.3333333333333333}
afirma	{"ud.verb": 1.0}
afirmaba	{"ud.verb": 1.0}
afirmación	{"ud.noun": 1.0}
afirman	{"ud.verb": 1.0}
afirmando	{"ud.verb": 1.0}
afirmar	{"ud.verb": 1.0}
afirmó	{"ud.verb": 1.0}
afluente	{"ud.noun": 1.0}
afluentes	{"ud.noun": 1.0}
africanas	{"ud.adj": 1.0}
africano	{"ud.propn": 0.2, "ud.adj": 0.6, "ud.noun": 0.2}
africanos	{"ud.noun": 0.5, "ud.adj": 0.5}
afroamericanos	{"ud.noun": 0.5769230769230769, "ud.adj": 0.4230769230769231}
afrontar	{"ud.verb": 1.0}
afuera	{"ud.adv": 1.0}
afueras	{"ud.noun": 1.0}
afán	{"ud.noun": 1.0}
agatha	{"ud.propn": 1.0}
age	{"ud.propn": 0.8333333333333334, "ud.x": 0.16666666666666666}
