!	{"ud.punct": 1.0}
!!	{"ud.punct": 1.0}
!!!	{"ud.punct": 1.0}
!!!!	{"ud.punct": 1.0}
!!!!!	{"ud.punct": 1.0}
!!!!!!	{"ud.punct": 1.0}
!!!!!!!	{"ud.punct": 1.0}
!?	{"ud.punct": 1.0}
"	{"ud.punct": 0.9969135802469136, "ud.noun": 0.0030864197530864196}
10th	{"ud.noun": 0.6666666666666666, "ud.adj": 0.3333333333333333}
11	{"ud.num": 0.972972972972973, "ud.x": 0.02702702702702703}
11/10/2000	{"ud.num": 1.0}
11/28/2000	{"ud.num": 1.0}
11/29/2000	{"ud.num": 1.0}
110	{"ud.num": 1.0}
11:00	{"ud.num": 1.0}
11:30	{"ud.num": 1.0}
11:32	{"ud.num": 1.0}
11:45	{"ud.num": 1.0}
12	{"ud.num": 0.9705882352941176, "ud.x": 0.029411764705882353}
120	{"ud.num": 1.0}
12:12	{"ud.num": 1.0}
12:30	{"ud.num": 1.0}
13	{"ud.num": 0.95, "ud.x": 0.05}
1307	{"ud.num": 1.0}
14	{"ud.num": 1.0}
14th	{"ud.noun": 0.3333333333333333, "ud.adj": 0.3333333333333333, "ud.propn": 0.3333333333333333}
15	{"ud.num": 1.0}
150	{"ud.num": 1.0}
1560	{"ud.num": 1.0}
1561	{"ud.num": 1.0}
1580	{"ud.num": 1.0}
1584	{"ud.num": 1.0}
1594	{"ud.num": 1.0}
15th	{"ud.noun": 0.8, "ud.propn": 0.2}
16	{"ud.num": 1.0}
1691	{"ud.num": 1.0}
17	{"ud.num": 1.0}
1774	{"ud.num": 1.0}
17th	{"ud.propn": 0.8, "ud.noun": 0.2}
18	{"ud.num": 1.0}
19	{"ud.num": 0.8571428571428571, "ud.propn": 0.14285714285714285}
1968	{"ud.num": 1.0}
1969	{"ud.num": 1.0}
1970	{"ud.num": 1.0}
1970s	{"ud.noun": 1.0}
1971	{"ud.num": 1.0}
1972	{"ud.num": 1.0}
1973	{"ud.num": 1.0}
1980	{"ud.num": 1.0}
1980s	{"ud.noun": 1.0}
1983	{"ud.num": 1.0}
1987	{"ud.num": 1.0}
1991	{"ud.num": 1.0}
1993	{"ud.num": 1.0}
1995	{"ud.num": 1.0}
1997	{"ud.num": 1.0}
1998	{"ud.num": 1.0}
1999	{"ud.num": 1.0}
19th	{"ud.noun": 0.25, "ud.adj": 0.75}
1:00	{"ud.num": 1.0}
1st	{"ud.noun": 0.6, "ud.adj": 0.4}
2	{"ud.num": 0.8113207547169812, "ud.x": 0.18238993710691823, "ud.part": 0.006289308176100629}
20	{"ud.num": 0.9473684210526315, "ud.noun": 0.05263157894736842}
20,000	{"ud.num": 1.0}
20.doc	{"ud.noun": 1.0}
200	{"ud.num": 1.0}
200,000	{"ud.num": 1.0}
2000	{"ud.num": 1.0}
2001	{"ud.num": 1.0}
2002	{"ud.num": 1.0}
2003	{"ud.num": 1.0}
2004	{"ud.num": 1.0}
2005	{"ud.num": 1.0}
2006	{"ud.num": 1.0}
2007	{"ud.num": 1.0}
2008	{"ud.num": 1.0}
2009	{"ud.num": 1.0}
2010	{"ud.num": 1.0}
2012	{"ud.num": 1.0}
20th	{"ud.adj": 0.3333333333333333, "ud.noun": 0.6666666666666666}
21	{"ud.num": 1.0}
212	{"ud.num": 1.0}
21st	{"ud.noun": 0.5, "ud.adj": 0.25, "ud.propn": 0.25}
22	{"ud.num": 0.9375, "ud.propn": 0.0625}
22nd	{"ud.noun": 0.75, "ud.adj": 0.25}
23	{"ud.num": 1.0}
23rd	{"ud.noun": 1.0}
24	{"ud.num": 0.9333333333333333, "ud.propn": 0.06666666666666667}
25	{"ud.num": 1.0}
250	{"ud.num": 1.0}
26	{"ud.num": 1.0}
27	{"ud.num": 1.0}
270	{"ud.num": 1.0}
28	{"ud.num": 1.0}
29	{"ud.num": 1.0}
295870	{"ud.num": 1.0}
2:00	{"ud.num": 1.0}
2:30	{"ud.num": 1.0}
2nd	{"ud.adj": 0.6, "ud.noun": 0.4}
3	{"ud.num": 0.872, "ud.x": 0.128}
3,500	{"ud.num": 1.0}
3.5	{"ud.num": 1.0}
30	{"ud.num": 1.0}
300	{"ud.num": 1.0}
30th	{"ud.noun": 1.0}
31	{"ud.num": 1.0}
32	{"ud.num": 1.0}
33	{"ud.num": 1.0}
34	{"ud.num": 1.0}
345-9945	{"ud.num": 1.0}
35	{"ud.num": 1.0}
36	{"ud.num": 1.0}
38,000	{"ud.num": 1.0}
3889	{"ud.num": 1.0}
3:00	{"ud.num": 1.0}
3:30	{"ud.num": 1.0}
3rd	{"ud.noun": 0.3333333333333333, "ud.adj": 0.6666666666666666}
4	{"ud.num": 0.8653846153846154, "ud.x": 0.125, "ud.adp": 0.009615384615384616}
40	{"ud.num": 1.0}
40,000	{"ud.num": 1.0}
400	{"ud.num": 1.0}
41	{"ud.num": 1.0}
42	{"ud.num": 1.0}
45	{"ud.num": 1.0}
46	{"ud.num": 1.0}
47	{"ud.num": 1.0}
48	{"ud.num": 1.0}
49	{"ud.num": 1.0}
4:00	{"ud.num": 1.0}
4th	{"ud.noun": 0.6666666666666666, "ud.adj": 0.3333333333333333}
5	{"ud.num": 0.9587628865979382, "ud.x": 0.041237113402061855}
5,000	{"ud.num": 1.0}
50	{"ud.num": 1.0}
500	{"ud.num": 0.9, "ud.propn": 0.1}
5000	{"ud.num": 1.0}
53	{"ud.num": 1.0}
55	{"ud.num": 1.0}
56	{"ud.num": 1.0}
5:00	{"ud.num": 1.0}
5:30	{"ud.num": 1.0}
5th	{"ud.adj": 0.8, "ud.noun": 0.2}
6	{"ud.num": 0.9661016949152542, "ud.x": 0.03389830508474576}
6.00	{"ud.num": 1.0}
6.1	{"ud.num": 1.0}
60	{"ud.num": 1.0}
600	{"ud.num": 1.0}
61	{"ud.num": 1.0}
63	{"ud.num": 1.0}
646-8420	{"ud.num": 1.0}
65	{"ud.num": 1.0}
66	{"ud.num": 1.0}
67	{"ud.num": 1.0}
69	{"ud.num": 1.0}
6:00	{"ud.num": 1.0}
6:30	{"ud.num": 1.0}
6th	{"ud.noun": 1.0}
7	{"ud.num": 0.9333333333333333, "ud.x": 0.06666666666666667}
70	{"ud.num": 1.0}
700	{"ud.num": 0.6, "ud.propn": 0.4}
713	{"ud.num": 1.0}
713-646-3393	{"ud.num": 1.0}
713-853-3989	{"ud.num": 1.0}
72	{"ud.num": 1.0}
74419	{"ud.num": 1.0}
75	{"ud.num": 1.0}
750	{"ud.num": 1.0}
763736	{"ud.num": 1.0}
78	{"ud.num": 1.0}
79	{"ud.num": 1.0}
7:00	{"ud.num": 1.0}
7:30	{"ud.num": 1.0}
7th	{"ud.adj": 0.4, "ud.noun": 0.4, "ud.propn": 0.2}
8	{"ud.num": 0.8846153846153846, "ud.x": 0.07692307692307693, "ud.propn": 0.038461538461538464}
80	{"ud.num": 1.0}
800	{"ud.num": 1.0}
82	{"ud.num": 1.0}
83n	{"ud.noun": 1.0}
85	{"ud.num": 1.0}
8:00	{"ud.num": 1.0}
8:30	{"ud.num": 1.0}
9	{"ud.num": 0.8823529411764706, "ud.x": 0.11764705882352941}
9/11	{"ud.propn": 0.2, "ud.num": 0.8}
90	{"ud.num": 1.0}
95	{"ud.num": 1.0}
99	{"ud.num": 0.8333333333333334, "ud.propn": 0.16666666666666666}
9:30	{"ud.num": 1.0}
:	{"ud.punct": 0.9983136593591906, "ud.sym": 0.0016863406408094434}
:(	{"ud.sym": 1.0}
:)	{"ud.sym": 1.0}
:-)	{"ud.sym": 1.0}
:d	{"ud.sym": 1.0}
;	{"ud.punct": 1.0}
;)	{"ud.sym": 1.0}
<	{"ud.punct": 0.975609756097561, "ud.sym": 0.024390243902439025}
<<	{"ud.punct": 1.0}
=	{"ud.sym": 0.4444444444444444, "ud.punct": 0.5555555555555556}
=)	{"ud.sym": 1.0}
====================================================	{"ud.sym": 1.0}
>	{"ud.punct": 0.9761904761904762, "ud.sym": 0.023809523809523808}
>>	{"ud.punct": 1.0}
?	{"ud.punct": 1.0}
?!	{"ud.punct": 1.0}
??	{"ud.punct": 1.0}
???	{"ud.sym": 0.1, "ud.punct": 0.9}
?????	{"ud.punct": 1.0}
@	{"ud.adp": 0.8, "ud.x": 0.1, "ud.sym": 0.1}
[	{"ud.punct": 1.0}
]	{"ud.punct": 1.0}
^_^	{"ud.sym": 1.0}
_	{"ud.sym": 1.0}
_______	{"ud.sym": 1.0}
___________	{"ud.sym": 1.0}
____________________________________________________________	{"ud.sym": 1.0}
`	{"ud.punct": 1.0}
`s	{"ud.aux": 0.9, "ud.part": 0.1}
a	{"ud.det": 0.988630354309889, "ud.propn": 0.0015864621893178213, "ud.x": 0.0021152829190904283, "ud.adp": 0.0010576414595452142, "ud.noun": 0.002908514013749339, "ud.adv": 0.0015864621893178213, "ud.cconj": 0.00026441036488630354, "ud.part": 0.00026441036488630354, "ud.aux": 0.00026441036488630354, "ud.sym": 0.0013220518244315177}
a&e	{"ud.propn": 1.0}
a.	{"ud.propn": 1.0}
a.m.	{"ud.noun": 1.0}
aa	{"ud.noun": 0.8571428571428571, "ud.det": 0.14285714285714285}
aafia	{"ud.propn": 1.0}
abandoning	{"ud.verb": 1.0}
abby	{"ud.propn": 1.0}
abdel	{"ud.propn": 1.0}
abdul	{"ud.propn": 1.0}
ability	{"ud.noun": 1.0}
able	{"ud.adj": 1.0}
aboard	{"ud.adp": 0.16666666666666666, "ud.adv": 0.8333333333333334}
about	{"ud.adp": 0.6756756756756757, "ud.adv": 0.19144144144144143, "ud.sconj": 0.12387387387387387, "ud.adj": 0.009009009009009009}
above	{"ud.adv": 0.3409090909090909, "ud.adp": 0.36363636363636365, "ud.adj": 0.2727272727272727, "ud.noun": 0.022727272727272728}
abroad	{"ud.adv": 1.0}
absence	{"ud.noun": 1.0}
absolute	{"ud.adj": 0.8888888888888888, "ud.adv": 0.1111111111111111}
absolutely	{"ud.adv": 1.0}
absorb	{"ud.verb": 1.0}
abundantly	{"ud.adv": 1.0}
abuse	{"ud.noun": 1.0}
accent	{"ud.noun": 0.6666666666666666, "ud.verb": 0.3333333333333333}
accept	{"ud.verb": 1.0}
acceptable	{"ud.adj": 1.0}
acceptance	{"ud.noun": 1.0}
accepted	{"ud.verb": 1.0}
accepting	{"ud.verb": 1.0}
access	{"ud.noun": 0.6774193548387096, "ud.verb": 0.12903225806451613, "ud.x": 0.1935483870967742}
accessibility	{"ud.noun": 1.0}
accessible	{"ud.adj": 1.0}
accessories	{"ud.noun": 1.0}
accident	{"ud.noun": 0.9, "ud.propn": 0.1}
accidentally	{"ud.adv": 1.0}
accommodation	{"ud.noun": 1.0}
accomodating	{"ud.adj": 1.0}
accord	{"ud.propn": 0.3333333333333333, "ud.noun": 0.5555555555555556, "ud.x": 0.1111111111111111}
according	{"ud.verb": 0.9736842105263158, "ud.adv": 0.02631578947368421}
accordingly	{"ud.adv": 1.0}
account	{"ud.noun": 0.9285714285714286, "ud.verb": 0.07142857142857142}
accounting	{"ud.noun": 1.0}
accounts	{"ud.noun": 1.0}
accumulated	{"ud.verb": 1.0}
accurate	{"ud.adj": 1.0}
accused	{"ud.verb": 1.0}
achieve	{"ud.verb": 1.0}
achieved	{"ud.verb": 1.0}
achieving	{"ud.verb": 1.0}
acia	{"ud.propn": 1.0}
acquire	{"ud.verb": 1.0}
acquired	{"ud.verb": 1.0}
acquiring	{"ud.verb": 1.0}
acronym	{"ud.noun": 1.0}
across	{"ud.adp": 0.896551724137931, "ud.adv": 0.10344827586206896}
act	{"ud.verb": 0.25925925925925924, "ud.noun": 0.5555555555555556, "ud.propn": 0.18518518518518517}
acted	{"ud.verb": 1.0}
acting	{"ud.verb": 1.0}
action	{"ud.noun": 0.9583333333333334, "ud.propn": 0.041666666666666664}
actions	{"ud.noun": 1.0}
active	{"ud.adj": 1.0}
activities	{"ud.noun": 1.0}
activity	{"ud.noun": 1.0}
acts	{"ud.noun": 0.7, "ud.verb": 0.3}
actual	{"ud.adj": 1.0}
actually	{"ud.adv": 1.0}
acupuncture	{"ud.noun": 1.0}
acupuncturist	{"ud.noun": 1.0}
ad	{"ud.noun": 1.0}
adapted	{"ud.verb": 1.0}
add	{"ud.verb": 1.0}
added	{"ud.verb": 1.0}
adding	{"ud.verb": 1.0}
addition	{"ud.noun": 0.9333333333333333, "ud.propn": 0.06666666666666667}
additional	{"ud.adj": 1.0}
additionally	{"ud.adv": 1.0}
address	{"ud.verb": 0.37142857142857144, "ud.noun": 0.6285714285714286}
addressed	{"ud.verb": 1.0}
addresses	{"ud.noun": 0.8, "ud.verb": 0.2}
adds	{"ud.verb": 1.0}
adequate	{"ud.adj": 1.0}
adhering	{"ud.verb": 1.0}
adjust	{"ud.verb": 1.0}
adjusted	{"ud.verb": 1.0}
adjustment	{"ud.noun": 1.0}
adjustments	{"ud.noun": 1.0}
administration	{"ud.noun": 0.9393939393939394, "ud.propn": 0.06060606060606061}
administrative	{"ud.adj": 1.0}
administrator	{"ud.noun": 1.0}
admissions	{"ud.noun": 1.0}
admit	{"ud.verb": 1.0}
admitted	{"ud.verb": 1.0}
adnan	{"ud.propn": 0.75, "ud.x": 0.25}
adopted	{"ud.verb": 1.0}
adorable	{"ud.adj": 1.0}
adult	{"ud.noun": 0.8, "ud.adj": 0.2}
adults	{"ud.noun": 1.0}
advance	{"ud.noun": 0.8, "ud.propn": 0.1, "ud.adj": 0.1}
advanced	{"ud.adj": 0.8571428571428571, "ud.propn": 0.14285714285714285}
advantage	{"ud.noun": 1.0}
adventure	{"ud.noun": 1.0}
advice	{"ud.noun": 1.0}
advise	{"ud.verb": 0.9166666666666666, "ud.noun": 0.08333333333333333}
advised	{"ud.verb": 1.0}
aerocom	{"ud.propn": 1.0}
affair	{"ud.noun": 1.0}
affairs	{"ud.noun": 1.0}
affect	{"ud.verb": 1.0}
affected	{"ud.verb": 0.8571428571428571, "ud.adj": 0.14285714285714285}
affecting	{"ud.verb": 1.0}
affluent	{"ud.adj": 1.0}
afford	{"ud.verb": 1.0}
affordable	{"ud.adj": 0.9166666666666666, "ud.propn": 0.08333333333333333}
afghan	{"ud.adj": 1.0}
afghanistan	{"ud.propn": 1.0}
afraid	{"ud.adj": 0.9411764705882353, "ud.propn": 0.058823529411764705}
africa	{"ud.propn": 1.0}
african	{"ud.propn": 0.3333333333333333, "ud.adj": 0.6666666666666666}
afshari	{"ud.propn": 1.0}
after	{"ud.sconj": 0.391304347826087, "ud.adp": 0.5695652173913044, "ud.adv": 0.0391304347826087}
aftermath	{"ud.noun": 1.0}
afternoon	{"ud.noun": 1.0}
aftershocks	{"ud.noun": 1.0}
again	{"ud.adv": 1.0}
against	{"ud.adp": 0.9868421052631579, "ud.sconj": 0.013157894736842105}
age	{"ud.noun": 1.0}
aged	{"ud.adj": 1.0}
agel	{"ud.propn": 1.0}
agencies	{"ud.noun": 1.0}
agency	{"ud.propn": 0.4, "ud.noun": 0.6}
agenda	{"ud.noun": 1.0}
agent	{"ud.noun": 1.0}
agents	{"ud.noun": 0.9285714285714286, "ud.propn": 0.07142857142857142}
ages	{"ud.propn": 0.6666666666666666, "ud.noun": 0.3333333333333333}
aggravated	{"ud.verb": 1.0}
aggressive	{"ud.adj": 1.0}
ago	{"ud.adv": 1.0}
agra	{"ud.propn": 1.0}
agree	{"ud.verb": 1.0}
agreed	{"ud.verb": 1.0}
agreeing	{"ud.verb": 1.0}
agreement	{"ud.noun": 0.9565217391304348, "ud.x": 0.043478260869565216}
agreements	{"ud.noun": 1.0}
agrees	{"ud.verb": 1.0}
ahead	{"ud.adv": 0.875, "ud.adp": 0.0625, "ud.noun": 0.0625}
ahmed	{"ud.propn": 1.0}
ai	{"ud.aux": 1.0}
aid	{"ud.noun": 0.6666666666666666, "ud.verb": 0.16666666666666666, "ud.propn": 0.16666666666666666}
aim	{"ud.noun": 1.0}
air	{"ud.noun": 0.6341463414634146, "ud.propn": 0.34146341463414637, "ud.x": 0.024390243902439025}
aircraft	{"ud.noun": 1.0}
aires	{"ud.propn": 1.0}
airline	{"ud.noun": 1.0}
airport	{"ud.noun": 0.7777777777777778, "ud.propn": 0.2222222222222222}
ak	{"ud.noun": 0.3333333333333333, "ud.propn": 0.6666666666666666}
al	{"ud.propn": 0.9912280701754386, "ud.x": 0.008771929824561403}
alabama	{"ud.propn": 1.0}
alan	{"ud.propn": 1.0}
alarm	{"ud.noun": 1.0}
alberta	{"ud.x": 0.875, "ud.propn": 0.125}
alcohol	{"ud.noun": 0.75, "ud.adv": 0.25}
alexandria	{"ud.propn": 1.0}
ali	{"ud.propn": 1.0}
alibek	{"ud.propn": 1.0}
alike	{"ud.adj": 0.6666666666666666, "ud.adv": 0.3333333333333333}
alito	{"ud.propn": 1.0}
all	{"ud.det": 0.8115384615384615, "ud.adv": 0.17884615384615385, "ud.punct": 0.0019230769230769232, "ud.noun": 0.0038461538461538464, "ud.x": 0.0038461538461538464}
allawi	{"ud.propn": 1.0}
allegations	{"ud.noun": 1.0}
alleged	{"ud.verb": 0.5, "ud.adj": 0.5}
allegedly	{"ud.adv": 0.8333333333333334, "ud.verb": 0.16666666666666666}
alliance	{"ud.propn": 0.5384615384615384, "ud.noun": 0.46153846153846156}
allies	{"ud.noun": 1.0}
allocated	{"ud.verb": 1.0}
allocation	{"ud.noun": 1.0}
allow	{"ud.verb": 1.0}
allowance	{"ud.noun": 0.16666666666666666, "ud.propn": 0.8333333333333334}
allowed	{"ud.verb": 1.0}
ally	{"ud.verb": 0.3333333333333333, "ud.noun": 0.6666666666666666}
almost	{"ud.adv": 1.0}
alone	{"ud.adv": 0.7391304347826086, "ud.adj": 0.2608695652173913}
along	{"ud.adp": 0.5869565217391305, "ud.adv": 0.41304347826086957}
already	{"ud.adv": 1.0}
alright	{"ud.adj": 0.75, "ud.intj": 0.25}
also	{"ud.adv": 1.0}
alternative	{"ud.adj": 0.6153846153846154, "ud.noun": 0.38461538461538464}
alternatives	{"ud.noun": 1.0}
although	{"ud.sconj": 0.9772727272727273, "ud.adv": 0.022727272727272728}
alto	{"ud.propn": 1.0}
always	{"ud.adv": 1.0}
am	{"ud.aux": 0.6567164179104478, "ud.verb": 0.011940298507462687, "ud.propn": 0.0029850746268656717, "ud.noun": 0.3283582089552239}
amazing	{"ud.adj": 1.0}
amazingly	{"ud.adv": 1.0}
ambitious	{"ud.adj": 1.0}
ambulances	{"ud.noun": 1.0}
amend	{"ud.verb": 1.0}
amended	{"ud.verb": 0.6666666666666666, "ud.noun": 0.3333333333333333}
amendment	{"ud.noun": 1.0}
america	{"ud.propn": 1.0}
american	{"ud.adj": 0.8904109589041096, "ud.propn": 0.1095890410958904}
americans	{"ud.propn": 1.0}
ames	{"ud.propn": 1.0}
ami	{"ud.propn": 1.0}
ammunition	{"ud.noun": 1.0}
among	{"ud.adp": 1.0}
amount	{"ud.noun": 0.9722222222222222, "ud.verb": 0.013888888888888888, "ud.propn": 0.013888888888888888}
amounts	{"ud.noun": 1.0}
amsterdam	{"ud.propn": 1.0}
an	{"ud.det": 0.9939879759519038, "ud.cconj": 0.006012024048096192}
ana	{"ud.propn": 1.0}
analyses	{"ud.noun": 1.0}
analysis	{"ud.propn": 0.07692307692307693, "ud.noun": 0.9230769230769231}
analysis_0712	{"ud.x": 1.0}
analyst	{"ud.noun": 1.0}
analysts	{"ud.noun": 1.0}
anbar	{"ud.propn": 1.0}
ancient	{"ud.adj": 1.0}
and	{"ud.cconj": 0.9976009596161536, "ud.det": 0.0007996801279488205, "ud.x": 0.0011995201919232307, "ud.adp": 0.00039984006397441024}
andaman	{"ud.propn": 1.0}
andamans	{"ud.propn": 1.0}
anderson	{"ud.propn": 1.0}
andrew	{"ud.propn": 1.0}
angeles	{"ud.propn": 1.0}
anger	{"ud.noun": 0.8, "ud.verb": 0.2}
angle	{"ud.noun": 1.0}
angry	{"ud.adj": 1.0}
animal	{"ud.noun": 0.9375, "ud.propn": 0.0625}
animals	{"ud.noun": 1.0}
anne	{"ud.propn": 1.0}
annex	{"ud.noun": 1.0}
anniversary	{"ud.noun": 1.0}
announced	{"ud.verb": 1.0}
announcement	{"ud.noun": 1.0}
annoying	{"ud.adj": 1.0}
annual	{"ud.adj": 1.0}
another	{"ud.det": 0.9922480620155039, "ud.adj": 0.007751937984496124}
answer	{"ud.noun": 0.725, "ud.verb": 0.275}
answered	{"ud.verb": 1.0}
answering	{"ud.verb": 1.0}
answers	{"ud.noun": 0.9411764705882353, "ud.verb": 0.058823529411764705}
anthony	{"ud.propn": 1.0}
anthrax	{"ud.noun": 0.9743589743589743, "ud.propn": 0.02564102564102564}
antibiotics	{"ud.noun": 1.0}
antichrist	{"ud.propn": 1.0}
antique	{"ud.adj": 1.0}
antonio	{"ud.propn": 1.0}
any	{"ud.adv": 0.0243161094224924, "ud.det": 0.9726443768996961, "ud.x": 0.00303951367781155}
anybody	{"ud.pron": 1.0}
anymore	{"ud.adv": 1.0}
anyone	{"ud.pron": 1.0}
anything	{"ud.pron": 1.0}
anytime	{"ud.adv": 0.6666666666666666, "ud.noun": 0.3333333333333333}
anyway	{"ud.adv": 0.7241379310344828, "ud.intj": 0.27586206896551724}
anyways	{"ud.adv": 0.6666666666666666, "ud.intj": 0.3333333333333333}
anywhere	{"ud.adv": 0.8823529411764706, "ud.noun": 0.11764705882352941}
apart	{"ud.adv": 1.0}
apartment	{"ud.noun": 1.0}
apartments	{"ud.propn": 0.2857142857142857, "ud.noun": 0.7142857142857143}
aperture	{"ud.noun": 0.6666666666666666, "ud.propn": 0.3333333333333333}
apologize	{"ud.verb": 1.0}
apparent	{"ud.adj": 1.0}
apparently	{"ud.adv": 1.0}
appear	{"ud.verb": 1.0}
appearance	{"ud.noun": 1.0}
appeared	{"ud.verb": 1.0}
appears	{"ud.verb": 1.0}
appetite	{"ud.noun": 1.0}
appetizers	{"ud.noun": 1.0}
apple	{"ud.propn": 1.0}
application	{"ud.noun": 1.0}
applications	{"ud.noun": 1.0}
applied	{"ud.verb": 1.0}
applies	{"ud.verb": 1.0}
apply	{"ud.verb": 1.0}
appointees	{"ud.noun": 1.0}
appointment	{"ud.noun": 1.0}
appreciate	{"ud.verb": 1.0}
appreciated	{"ud.verb": 1.0}
approach	{"ud.noun": 0.875, "ud.verb": 0.125}
approached	{"ud.verb": 1.0}
appropriate	{"ud.adj": 1.0}
appropriations	{"ud.noun": 0.5555555555555556, "ud.propn": 0.4444444444444444}
approval	{"ud.noun": 1.0}
approve	{"ud.verb": 1.0}
approved	{"ud.verb": 0.9565217391304348, "ud.noun": 0.043478260869565216}
approximate	{"ud.adj": 1.0}
approximately	{"ud.adv": 1.0}
april	{"ud.propn": 1.0}
aquarium	{"ud.noun": 0.5, "ud.propn": 0.5}
ar	{"ud.noun": 0.3333333333333333, "ud.verb": 0.3333333333333333, "ud.aux": 0.3333333333333333}
arab	{"ud.adj": 0.9130434782608695, "ud.propn": 0.08695652173913043}
arabia	{"ud.propn": 1.0}
arabic	{"ud.propn": 1.0}
arafat	{"ud.propn": 1.0}
arakan	{"ud.adj": 0.5, "ud.propn": 0.5}
arbitration	{"ud.noun": 0.3333333333333333, "ud.propn": 0.6666666666666666}
archibald	{"ud.propn": 1.0}
arctic	{"ud.propn": 0.7777777777777778, "ud.adj": 0.2222222222222222}
are	{"ud.aux": 0.8797862867319679, "ud.verb": 0.12021371326803205}
area	{"ud.noun": 0.9523809523809523, "ud.propn": 0.047619047619047616}
areas	{"ud.noun": 1.0}
arena	{"ud.noun": 1.0}
argentina	{"ud.propn": 1.0}
argue	{"ud.verb": 1.0}
argued	{"ud.verb": 1.0}
argument	{"ud.noun": 1.0}
arm	{"ud.verb": 0.4, "ud.noun": 0.4, "ud.propn": 0.2}
armaments	{"ud.noun": 1.0}
armed	{"ud.adj": 0.8888888888888888, "ud.verb": 0.1111111111111111}
arms	{"ud.noun": 1.0}
army	{"ud.noun": 0.7586206896551724, "ud.propn": 0.2413793103448276}
around	{"ud.adp": 0.5454545454545454, "ud.adv": 0.4462809917355372, "ud.noun": 0.008264462809917356}
arrange	{"ud.verb": 1.0}
arrest	{"ud.noun": 0.9090909090909091, "ud.verb": 0.09090909090909091}
arrested	{"ud.verb": 1.0}
arrival	{"ud.noun": 1.0}
arrive	{"ud.verb": 1.0}
arrived	{"ud.verb": 1.0}
arriving	{"ud.verb": 1.0}
