!	{"ud.punct": 1.0}
"	{"ud.punct": 0.9983351831298557, "ud.sym": 0.0011098779134295228, "ud.noun": 0.0005549389567147614}
1525	{"ud.num": 1.0}
1540	{"ud.num": 1.0}
1549	{"ud.num": 1.0}
1550	{"ud.num": 1.0}
1560	{"ud.num": 1.0}
1572	{"ud.num": 1.0}
16	{"ud.num": 0.9428571428571428, "ud.propn": 0.05714285714285714}
160	{"ud.num": 1.0}
1600	{"ud.num": 1.0}
1650	{"ud.num": 1.0}
1660	{"ud.num": 1.0}
1664	{"ud.num": 1.0}
1670	{"ud.num": 1.0}
1672	{"ud.num": 1.0}
1683	{"ud.num": 1.0}
17	{"ud.num": 0.9545454545454546, "ud.propn": 0.045454545454545456}
1700	{"ud.num": 1.0}
1760	{"ud.num": 1.0}
1765	{"ud.num": 1.0}
1766	{"ud.num": 1.0}
1781	{"ud.num": 1.0}
1783	{"ud.num": 1.0}
1795	{"ud.num": 1.0}
1798	{"ud.num": 1.0}
1799	{"ud.num": 1.0}
18	{"ud.num": 0.9333333333333333, "ud.propn": 0.06666666666666667}
180	{"ud.num": 1.0}
1800	{"ud.num": 1.0}
1806	{"ud.num": 1.0}
1808	{"ud.num": 1.0}
1811	{"ud.num": 1.0}
1812	{"ud.num": 1.0}
1813	{"ud.num": 1.0}
1815	{"ud.num": 1.0}
1817	{"ud.num": 1.0}
1818	{"ud.num": 1.0}
1819	{"ud.num": 1.0}
1822	{"ud.num": 1.0}
1826	{"ud.num": 1.0}
1827	{"ud.num": 0.75, "ud.noun": 0.25}
1830	{"ud.num": 1.0}
1832	{"ud.num": 1.0}
1838	{"ud.num": 0.75, "ud.noun": 0.25}
1839	{"ud.num": 1.0}
1840	{"ud.num": 1.0}
1841	{"ud.num": 1.0}
1842	{"ud.num": 1.0}
1843	{"ud.num": 1.0}
1844	{"ud.num": 1.0}
1845	{"ud.num": 1.0}
1846	{"ud.num": 1.0}
1848	{"ud.num": 1.0}
1850	{"ud.num": 1.0}
1851	{"ud.num": 1.0}
1852	{"ud.num": 0.8888888888888888, "ud.propn": 0.1111111111111111}
1854	{"ud.num": 1.0}
1855	{"ud.num": 1.0}
1856	{"ud.num": 1.0}
1857	{"ud.num": 1.0}
1858	{"ud.num": 1.0}
1860	{"ud.num": 0.6666666666666666, "ud.propn": 0.3333333333333333}
1860er	{"ud.adj": 1.0}
1861	{"ud.num": 1.0}
1862	{"ud.num": 1.0}
1863	{"ud.num": 1.0}
1864	{"ud.num": 1.0}
1865	{"ud.num": 1.0}
1867	{"ud.num": 1.0}
1868	{"ud.num": 1.0}
1869	{"ud.num": 1.0}
1870	{"ud.num": 1.0}
1871	{"ud.num": 1.0}
1872	{"ud.num": 1.0}
1873	{"ud.num": 1.0}
1874	{"ud.num": 0.8333333333333334, "ud.propn": 0.16666666666666666}
1875	{"ud.num": 1.0}
1876	{"ud.num": 1.0}
1877	{"ud.num": 0.6666666666666666, "ud.propn": 0.3333333333333333}
1880	{"ud.num": 1.0}
1881	{"ud.num": 1.0}
1883	{"ud.num": 0.75, "ud.propn": 0.25}
1884	{"ud.num": 1.0}
1885	{"ud.num": 0.8571428571428571, "ud.propn": 0.14285714285714285}
1887	{"ud.num": 1.0}
1888	{"ud.num": 1.0}
1889	{"ud.num": 1.0}
1890	{"ud.num": 1.0}
1891	{"ud.num": 1.0}
1893	{"ud.num": 1.0}
1894	{"ud.num": 1.0}
1895	{"ud.num": 0.875, "ud.propn": 0.125}
1896	{"ud.num": 1.0}
1897	{"ud.num": 1.0}
1898	{"ud.num": 1.0}
1899	{"ud.num": 1.0}
19	{"ud.num": 0.9230769230769231, "ud.propn": 0.07692307692307693}
1900	{"ud.num": 1.0}
1901	{"ud.num": 1.0}
1902	{"ud.num": 1.0}
1903	{"ud.num": 1.0}
1904	{"ud.num": 1.0}
1905	{"ud.num": 1.0}
1906	{"ud.num": 1.0}
1907	{"ud.num": 1.0}
1908	{"ud.num": 1.0}
1909	{"ud.num": 1.0}
1910	{"ud.num": 1.0}
1911	{"ud.num": 1.0}
1912	{"ud.num": 1.0}
1913	{"ud.num": 0.9090909090909091, "ud.propn": 0.09090909090909091}
1914	{"ud.num": 1.0}
1915	{"ud.num": 1.0}
1916	{"ud.num": 1.0}
1917	{"ud.num": 1.0}
1918	{"ud.num": 1.0}
1919	{"ud.num": 1.0}
1920	{"ud.num": 0.9285714285714286, "ud.noun": 0.07142857142857142}
1920er	{"ud.adj": 0.9230769230769231, "ud.noun": 0.07692307692307693}
1921	{"ud.num": 1.0}
1922	{"ud.num": 1.0}
1923	{"ud.num": 1.0}
1924	{"ud.num": 1.0}
1925	{"ud.num": 1.0}
1926	{"ud.num": 0.9411764705882353, "ud.noun": 0.058823529411764705}
1927	{"ud.num": 1.0}
1928	{"ud.num": 1.0}
1929	{"ud.num": 1.0}
1930	{"ud.num": 0.9375, "ud.propn": 0.0625}
1930er	{"ud.adj": 1.0}
1931	{"ud.num": 1.0}
1932	{"ud.num": 1.0}
1933	{"ud.num": 0.967741935483871, "ud.noun": 0.03225806451612903}
1934	{"ud.num": 1.0}
1935	{"ud.num": 1.0}
1936	{"ud.num": 1.0}
1937	{"ud.num": 1.0}
1938	{"ud.num": 1.0}
1939	{"ud.num": 1.0}
1940	{"ud.num": 1.0}
1940er	{"ud.adj": 1.0}
1941	{"ud.num": 0.9090909090909091, "ud.propn": 0.09090909090909091}
1942	{"ud.num": 1.0}
1943	{"ud.num": 0.9583333333333334, "ud.propn": 0.041666666666666664}
1944	{"ud.num": 1.0}
1945	{"ud.num": 1.0}
1946	{"ud.num": 1.0}
1947	{"ud.num": 1.0}
1948	{"ud.num": 1.0}
1949	{"ud.num": 1.0}
1950	{"ud.num": 1.0}
1950er	{"ud.adj": 1.0}
1951	{"ud.num": 1.0}
1952	{"ud.num": 1.0}
1953	{"ud.num": 1.0}
1954	{"ud.num": 1.0}
1955	{"ud.num": 1.0}
1956	{"ud.num": 1.0}
1957	{"ud.num": 1.0}
1958	{"ud.num": 1.0}
1959	{"ud.num": 1.0}
1960	{"ud.num": 0.96, "ud.noun": 0.04}
1960er	{"ud.adj": 0.9473684210526315, "ud.noun": 0.05263157894736842}
1961	{"ud.num": 1.0}
1962	{"ud.num": 0.9333333333333333, "ud.propn": 0.06666666666666667}
1963	{"ud.num": 0.9, "ud.noun": 0.05, "ud.propn": 0.05}
1964	{"ud.num": 1.0}
1965	{"ud.num": 1.0}
1966	{"ud.num": 1.0}
1967	{"ud.num": 1.0}
1968	{"ud.num": 1.0}
1969	{"ud.num": 1.0}
1970	{"ud.num": 1.0}
1970er	{"ud.adj": 1.0}
1971	{"ud.num": 1.0}
1972	{"ud.num": 0.95, "ud.propn": 0.05}
1973	{"ud.num": 0.8823529411764706, "ud.propn": 0.11764705882352941}
1974	{"ud.num": 1.0}
1975	{"ud.num": 1.0}
1976	{"ud.num": 1.0}
1977	{"ud.num": 1.0}
1978	{"ud.num": 0.9444444444444444, "ud.noun": 0.05555555555555555}
1979	{"ud.num": 1.0}
198	{"ud.num": 0.6666666666666666, "ud.propn": 0.3333333333333333}
1980	{"ud.num": 1.0}
1980er	{"ud.adj": 0.8235294117647058, "ud.noun": 0.17647058823529413}
1981	{"ud.num": 1.0}
1982	{"ud.num": 1.0}
1983	{"ud.num": 1.0}
1984	{"ud.num": 1.0}
1985	{"ud.num": 0.9411764705882353, "ud.noun": 0.058823529411764705}
1986	{"ud.num": 1.0}
1987	{"ud.num": 1.0}
1988	{"ud.num": 1.0}
1989	{"ud.num": 1.0}
1990	{"ud.num": 0.975609756097561, "ud.propn": 0.024390243902439025}
1990er	{"ud.adj": 1.0}
1991	{"ud.num": 1.0}
1992	{"ud.num": 1.0}
1993	{"ud.num": 1.0}
1994	{"ud.num": 1.0}
1995	{"ud.num": 1.0}
1996	{"ud.num": 1.0}
1997	{"ud.num": 1.0}
1998	{"ud.num": 1.0}
1999	{"ud.num": 1.0}
1:0	{"ud.num": 1.0}
1:1	{"ud.num": 1.0}
2	{"ud.num": 0.7945205479452054, "ud.propn": 0.2054794520547945}
2,3	{"ud.num": 1.0}
2,5	{"ud.num": 1.0}
2,8	{"ud.num": 1.0}
2-3	{"ud.num": 1.0}
2.000	{"ud.num": 1.0}
20	{"ud.num": 0.96, "ud.propn": 0.04}
20.000	{"ud.num": 1.0}
200	{"ud.num": 0.875, "ud.propn": 0.125}
2000	{"ud.num": 0.8870967741935484, "ud.propn": 0.11290322580645161}
2000er	{"ud.adj": 1.0}
2001	{"ud.num": 0.975609756097561, "ud.propn": 0.024390243902439025}
2002	{"ud.num": 0.9772727272727273, "ud.propn": 0.022727272727272728}
2003	{"ud.num": 1.0}
2004	{"ud.num": 1.0}
2005	{"ud.num": 1.0}
2006	{"ud.num": 1.0}
2007	{"ud.num": 1.0}
2008	{"ud.num": 0.9852941176470589, "ud.propn": 0.014705882352941176}
2009	{"ud.num": 0.9861111111111112, "ud.propn": 0.013888888888888888}
2010	{"ud.num": 1.0}
2011	{"ud.num": 1.0}
2012	{"ud.num": 0.9393939393939394, "ud.propn": 0.06060606060606061}
2013	{"ud.num": 1.0}
2015	{"ud.num": 1.0}
21	{"ud.num": 0.8666666666666667, "ud.propn": 0.13333333333333333}
213	{"ud.num": 1.0}
22	{"ud.num": 0.9473684210526315, "ud.propn": 0.05263157894736842}
23	{"ud.num": 1.0}
235	{"ud.num": 0.3333333333333333, "ud.propn": 0.6666666666666666}
24	{"ud.num": 0.8421052631578947, "ud.propn": 0.15789473684210525}
240	{"ud.num": 1.0}
25	{"ud.num": 0.9583333333333334, "ud.propn": 0.041666666666666664}
25.000	{"ud.num": 1.0}
250	{"ud.num": 0.9166666666666666, "ud.propn": 0.08333333333333333}
26	{"ud.num": 1.0}
27	{"ud.num": 0.9473684210526315, "ud.propn": 0.05263157894736842}
28	{"ud.num": 0.9444444444444444, "ud.propn": 0.05555555555555555}
29	{"ud.num": 1.0}
29a	{"ud.propn": 0.75, "ud.noun": 0.25}
2x	{"ud.adv": 0.6666666666666666, "ud.num": 0.3333333333333333}
3	{"ud.num": 0.7878787878787878, "ud.propn": 0.19696969696969696, "ud.adj": 0.015151515151515152}
3,5	{"ud.num": 1.0}
30	{"ud.num": 0.972972972972973, "ud.propn": 0.02702702702702703}
300	{"ud.num": 0.9166666666666666, "ud.propn": 0.08333333333333333}
31	{"ud.num": 1.0}
32	{"ud.num": 1.0}
33	{"ud.num": 0.8888888888888888, "ud.propn": 0.1111111111111111}
34	{"ud.num": 0.8888888888888888, "ud.propn": 0.1111111111111111}
340	{"ud.propn": 0.3333333333333333, "ud.num": 0.6666666666666666}
35	{"ud.num": 1.0}
36	{"ud.num": 0.8333333333333334, "ud.propn": 0.16666666666666666}
37	{"ud.num": 0.875, "ud.propn": 0.125}
38	{"ud.num": 0.75, "ud.propn": 0.25}
39	{"ud.num": 0.7777777777777778, "ud.propn": 0.2222222222222222}
3d	{"ud.noun": 0.8333333333333334, "ud.propn": 0.16666666666666666}
4	{"ud.num": 0.8596491228070176, "ud.propn": 0.14035087719298245}
4,5	{"ud.num": 1.0}
40	{"ud.num": 0.8709677419354839, "ud.propn": 0.12903225806451613}
40.000	{"ud.num": 1.0}
400	{"ud.num": 1.0}
41	{"ud.num": 0.8333333333333334, "ud.propn": 0.16666666666666666}
415	{"ud.propn": 0.3333333333333333, "ud.num": 0.6666666666666666}
42	{"ud.num": 1.0}
420	{"ud.num": 1.0}
43	{"ud.num": 1.0}
44	{"ud.num": 1.0}
45	{"ud.num": 0.8888888888888888, "ud.propn": 0.1111111111111111}
450	{"ud.num": 0.8571428571428571, "ud.propn": 0.14285714285714285}
46	{"ud.num": 0.6666666666666666, "ud.propn": 0.3333333333333333}
460	{"ud.num": 0.5, "ud.propn": 0.5}
48	{"ud.num": 1.0}
480	{"ud.num": 0.6666666666666666, "ud.propn": 0.3333333333333333}
49	{"ud.num": 0.8571428571428571, "ud.propn": 0.14285714285714285}
490	{"ud.num": 1.0}
5	{"ud.num": 0.9090909090909091, "ud.propn": 0.09090909090909091}
5.000	{"ud.num": 1.0}
50	{"ud.num": 0.9642857142857143, "ud.propn": 0.03571428571428571}
500	{"ud.num": 0.8888888888888888, "ud.propn": 0.1111111111111111}
52	{"ud.num": 1.0}
54	{"ud.num": 0.4, "ud.propn": 0.6}
55	{"ud.num": 1.0}
56	{"ud.num": 0.8, "ud.propn": 0.2}
565	{"ud.propn": 1.0}
58	{"ud.num": 1.0}
59	{"ud.num": 0.75, "ud.propn": 0.25}
6	{"ud.num": 0.8, "ud.propn": 0.2}
6,3	{"ud.num": 1.0}
6,5	{"ud.num": 1.0}
6,9	{"ud.num": 1.0}
60	{"ud.num": 1.0}
600	{"ud.num": 0.875, "ud.propn": 0.125}
60er	{"ud.adj": 0.6666666666666666, "ud.noun": 0.3333333333333333}
61	{"ud.num": 0.6666666666666666, "ud.propn": 0.3333333333333333}
62	{"ud.num": 0.8, "ud.propn": 0.2}
63	{"ud.num": 0.75, "ud.propn": 0.25}
64	{"ud.num": 1.0}
65	{"ud.num": 0.9285714285714286, "ud.propn": 0.07142857142857142}
66	{"ud.propn": 0.25, "ud.num": 0.75}
67	{"ud.num": 0.6666666666666666, "ud.propn": 0.3333333333333333}
68	{"ud.num": 1.0}
7	{"ud.num": 0.8181818181818182, "ud.propn": 0.18181818181818182}
7,5	{"ud.num": 1.0}
70	{"ud.num": 0.8666666666666667, "ud.propn": 0.13333333333333333}
700	{"ud.num": 0.8888888888888888, "ud.propn": 0.1111111111111111}
71	{"ud.num": 1.0}
72	{"ud.num": 0.7142857142857143, "ud.propn": 0.2857142857142857}
75	{"ud.num": 1.0}
750	{"ud.num": 0.75, "ud.propn": 0.25}
77	{"ud.num": 1.0}
78	{"ud.num": 1.0}
8	{"ud.num": 0.9024390243902439, "ud.propn": 0.0975609756097561}
80	{"ud.num": 1.0}
800	{"ud.num": 1.0}
80er	{"ud.adj": 1.0}
82	{"ud.num": 1.0}
86	{"ud.num": 1.0}
88	{"ud.num": 1.0}
9	{"ud.num": 0.9545454545454546, "ud.propn": 0.045454545454545456}
90	{"ud.num": 0.8148148148148148, "ud.propn": 0.18518518518518517}
900	{"ud.num": 1.0}
91	{"ud.num": 1.0}
93	{"ud.num": 0.75, "ud.propn": 0.25}
95	{"ud.num": 0.8571428571428571, "ud.propn": 0.14285714285714285}
96	{"ud.propn": 0.3333333333333333, "ud.num": 0.6666666666666666}
98	{"ud.num": 0.75, "ud.propn": 0.25}
99	{"ud.num": 0.8, "ud.propn": 0.2}
:	{"ud.punct": 1.0}
:-)	{"ud.punct": 0.75, "ud.x": 0.25}
;	{"ud.punct": 1.0}
=	{"ud.punct": 0.38461538461538464, "ud.x": 0.038461538461538464, "ud.sym": 0.5769230769230769}
?	{"ud.punct": 0.9875, "ud.propn": 0.0125}
[	{"ud.punct": 1.0}
]	{"ud.punct": 1.0}
``	{"ud.punct": 1.0}
a	{"ud.propn": 0.8095238095238095, "ud.x": 0.1111111111111111, "ud.noun": 0.06349206349206349, "ud.adp": 0.015873015873015872}
a1	{"ud.propn": 1.0}
aachener	{"ud.propn": 1.0}
ab	{"ud.adp": 0.992831541218638, "ud.adv": 0.0035842293906810036, "ud.part": 0.0035842293906810036}
abbau	{"ud.noun": 1.0}
abbildung	{"ud.noun": 1.0}
abbildungen	{"ud.noun": 1.0}
abend	{"ud.noun": 1.0}
abends	{"ud.adv": 0.8, "ud.noun": 0.2}
abenteuer	{"ud.noun": 1.0}
aber	{"ud.adv": 0.5595567867036011, "ud.cconj": 0.43490304709141275, "ud.adj": 0.002770083102493075, "ud.sconj": 0.002770083102493075}
abermals	{"ud.adv": 1.0}
abgebaut	{"ud.verb": 1.0}
abgeben	{"ud.verb": 1.0}
abgebrochen	{"ud.verb": 1.0}
abgehalten	{"ud.verb": 1.0}
abgekürzt	{"ud.adj": 0.6666666666666666, "ud.verb": 0.3333333333333333}
abgelehnt	{"ud.verb": 1.0}
abgeleitet	{"ud.verb": 1.0}
abgelöst	{"ud.verb": 1.0}
abgenommen	{"ud.verb": 1.0}
abgeordnete	{"ud.noun": 1.0}
abgeordneten	{"ud.noun": 1.0}
abgeordneter	{"ud.noun": 1.0}
abgerissen	{"ud.verb": 1.0}
abgesagt	{"ud.verb": 1.0}
abgeschafft	{"ud.verb": 1.0}
abgeschlossen	{"ud.verb": 0.8571428571428571, "ud.adj": 0.14285714285714285}
abgesehen	{"ud.verb": 1.0}
abgesetzt	{"ud.adj": 0.14285714285714285, "ud.verb": 0.8571428571428571}
abgesichert	{"ud.verb": 1.0}
abgetreten	{"ud.verb": 1.0}
abhängig	{"ud.adj": 1.0}
abhängigkeit	{"ud.noun": 1.0}
abitur	{"ud.noun": 1.0}
abkommen	{"ud.noun": 0.5714285714285714, "ud.propn": 0.42857142857142855}
abkürzung	{"ud.noun": 1.0}
ablagerungen	{"ud.noun": 1.0}
ablauf	{"ud.noun": 1.0}
ableger	{"ud.noun": 1.0}
ableitung	{"ud.noun": 1.0}
abläufe	{"ud.noun": 1.0}
abraham	{"ud.propn": 1.0}
abraten	{"ud.verb": 1.0}
abriss	{"ud.noun": 1.0}
abs	{"ud.propn": 0.25, "ud.noun": 0.25, "ud.x": 0.5}
abschaffung	{"ud.noun": 1.0}
abschied	{"ud.noun": 1.0}
abschloss	{"ud.verb": 1.0}
abschluss	{"ud.noun": 1.0}
abschnitt	{"ud.noun": 1.0}
abschnitte	{"ud.noun": 1.0}
abseits	{"ud.adv": 0.25, "ud.adp": 0.75}
absolut	{"ud.adv": 0.8888888888888888, "ud.adj": 0.1111111111111111}
absolute	{"ud.adj": 0.75, "ud.propn": 0.25}
absolvierte	{"ud.verb": 1.0}
abstammung	{"ud.noun": 1.0}
abstand	{"ud.noun": 1.0}
abstieg	{"ud.noun": 0.7777777777777778, "ud.verb": 0.2222222222222222}
abstimmung	{"ud.noun": 1.0}
abstrakten	{"ud.adj": 1.0}
abt	{"ud.noun": 0.75, "ud.propn": 0.25}
abtei	{"ud.noun": 1.0}
abteikirche	{"ud.noun": 1.0}
abteilung	{"ud.noun": 0.875, "ud.propn": 0.125}
abteilungen	{"ud.noun": 1.0}
abwechselnd	{"ud.adj": 1.0}
abwesenheit	{"ud.noun": 1.0}
abzug	{"ud.noun": 1.0}
abzweig	{"ud.noun": 0.6666666666666666, "ud.propn": 0.3333333333333333}
ac	{"ud.propn": 1.0}
academy	{"ud.propn": 1.0}
achse	{"ud.noun": 0.8, "ud.propn": 0.2}
acht	{"ud.num": 0.9545454545454546, "ud.noun": 0.045454545454545456}
achtelfinale	{"ud.noun": 1.0}
achten	{"ud.verb": 0.25, "ud.adj": 0.75}
achtung	{"ud.noun": 1.0}
ackerbau	{"ud.noun": 1.0}
act	{"ud.propn": 1.0}
adam	{"ud.propn": 1.0}
adams	{"ud.propn": 1.0}
adelstitel	{"ud.noun": 1.0}
adler	{"ud.propn": 1.0}
administrative	{"ud.propn": 1.0}
admira	{"ud.propn": 1.0}
admiral	{"ud.propn": 0.8, "ud.noun": 0.2}
adobe	{"ud.propn": 1.0}
adolf	{"ud.propn": 1.0}
adolph	{"ud.propn": 1.0}
adorno	{"ud.propn": 1.0}
adresse	{"ud.noun": 1.0}
adrian	{"ud.propn": 1.0}
aerts	{"ud.propn": 1.0}
affäre	{"ud.noun": 0.6666666666666666, "ud.propn": 0.3333333333333333}
afghanistan	{"ud.propn": 1.0}
afrika	{"ud.propn": 1.0}
afrikanische	{"ud.adj": 1.0}
afrikanischen	{"ud.adj": 1.0}
afrikanischer	{"ud.adj": 1.0}
ag	{"ud.propn": 1.0}
agent	{"ud.propn": 0.3333333333333333, "ud.noun": 0.6666666666666666}
agenten	{"ud.noun": 1.0}
agentur	{"ud.noun": 1.0}
agfa	{"ud.propn": 1.0}
agnes	{"ud.propn": 1.0}
ahl	{"ud.propn": 1.0}
ahnung	{"ud.noun": 1.0}
aids	{"ud.noun": 0.25, "ud.propn": 0.75}
aikidō	{"ud.propn": 1.0}
air	{"ud.propn": 0.875, "ud.noun": 0.125}
aires	{"ud.propn": 1.0}
akademie	{"ud.propn": 0.6153846153846154, "ud.noun": 0.38461538461538464}
akademische	{"ud.adj": 1.0}
akademischen	{"ud.adj": 0.8, "ud.propn": 0.2}
aktien	{"ud.noun": 1.0}
aktion	{"ud.noun": 0.7, "ud.propn": 0.3}
aktionen	{"ud.noun": 1.0}
aktiv	{"ud.adj": 1.0}
aktive	{"ud.adj": 0.75, "ud.noun": 0.25}
aktiven	{"ud.adj": 0.8888888888888888, "ud.noun": 0.1111111111111111}
aktivität	{"ud.noun": 1.0}
aktivitäten	{"ud.noun": 1.0}
aktuell	{"ud.adj": 1.0}
aktuelle	{"ud.adj": 1.0}
aktuellen	{"ud.adj": 1.0}
al	{"ud.propn": 1.0}
alabama	{"ud.propn": 1.0}
alan	{"ud.propn": 1.0}
albanischen	{"ud.adj": 1.0}
alben	{"ud.noun": 1.0}
albert	{"ud.propn": 1.0}
alberta	{"ud.propn": 1.0}
albrecht	{"ud.propn": 0.9090909090909091, "ud.noun": 0.09090909090909091}
album	{"ud.noun": 0.9206349206349206, "ud.propn": 0.07936507936507936}
albums	{"ud.noun": 1.0}
albuquerque	{"ud.propn": 1.0}
alemoa	{"ud.propn": 1.0}
alex	{"ud.propn": 1.0}
alexander	{"ud.propn": 1.0}
alfa	{"ud.propn": 1.0}
alfred	{"ud.propn": 1.0}
algebra	{"ud.noun": 1.0}
ali	{"ud.propn": 1.0}
alkohol	{"ud.noun": 1.0}
all	{"ud.det": 0.08333333333333333, "ud.pron": 0.08333333333333333, "ud.propn": 0.6666666666666666, "ud.noun": 0.08333333333333333, "ud.x": 0.08333333333333333}
alle	{"ud.pron": 0.9856115107913669, "ud.det": 0.014388489208633094}
allein	{"ud.adv": 0.6666666666666666, "ud.adj": 0.3333333333333333}
allem	{"ud.pron": 0.98989898989899, "ud.noun": 0.010101010101010102}
allen	{"ud.pron": 0.9555555555555556, "ud.adv": 0.022222222222222223, "ud.propn": 0.022222222222222223}
allenfalls	{"ud.adv": 1.0}
aller	{"ud.pron": 0.9545454545454546, "ud.det": 0.045454545454545456}
allerdings	{"ud.adv": 0.9833333333333333, "ud.cconj": 0.016666666666666666}
alles	{"ud.pron": 1.0}
allgemein	{"ud.adj": 1.0}
allgemeine	{"ud.adj": 1.0}
allgemeinen	{"ud.propn": 0.11764705882352941, "ud.adj": 0.5294117647058824, "ud.noun": 0.35294117647058826}
alliance	{"ud.propn": 1.0}
allianz	{"ud.propn": 0.8, "ud.noun": 0.2}
alliierten	{"ud.noun": 0.6666666666666666, "ud.adj": 0.3333333333333333}
alljährlich	{"ud.adj": 1.0}
allmählich	{"ud.adj": 0.875, "ud.adv": 0.125}
allradantrieb	{"ud.noun": 1.0}
alltag	{"ud.noun": 1.0}
alpen	{"ud.propn": 0.8888888888888888, "ud.noun": 0.1111111111111111}
alpes	{"ud.propn": 1.0}
als	{"ud.adp": 0.8317460317460318, "ud.sconj": 0.08634920634920636, "ud.cconj": 0.07174603174603175, "ud.adv": 0.009523809523809525, "ud.part": 0.0006349206349206349}
also	{"ud.adv": 1.0}
alstaden	{"ud.propn": 1.0}
alt	{"ud.adj": 0.631578947368421, "ud.noun": 0.10526315789473684, "ud.propn": 0.2631578947368421}
altar	{"ud.propn": 0.375, "ud.noun": 0.625}
alte	{"ud.adj": 0.8636363636363636, "ud.propn": 0.11363636363636363, "ud.noun": 0.022727272727272728}
alten	{"ud.adj": 0.7843137254901961, "ud.propn": 0.19607843137254902, "ud.noun": 0.0196078431372549}
altenglisch	{"ud.adj": 1.0}
alter	{"ud.noun": 0.8666666666666667, "ud.adj": 0.1, "ud.propn": 0.03333333333333333}
alternative	{"ud.noun": 0.6666666666666666, "ud.adj": 0.3333333333333333}
alternativen	{"ud.noun": 0.6666666666666666, "ud.adj": 0.3333333333333333}
alters	{"ud.noun": 1.0}
altes	{"ud.adj": 1.0}
altona	{"ud.propn": 1.0}
altstadt	{"ud.noun": 0.6, "ud.propn": 0.4}
am	{"ud._": 1.0}
amateur	{"ud.noun": 0.8333333333333334, "ud.propn": 0.16666666666666666}
ambiente	{"ud.noun": 1.0}
ambulanten	{"ud.adj": 1.0}
ameisen	{"ud.noun": 1.0}
america	{"ud.propn": 1.0}
american	{"ud.noun": 0.07142857142857142, "ud.propn": 0.9285714285714286}
